sno,name,handedness,height,weight,avg,HR,ratio,bodyindex,bodytype,CatAvg
2,Denny Lemaster,RIGHT,73,182,0.13,4,0.401098901,1,MODERATE,4.50E-04
3,Joe Nolan,LEFT,71,175,0.263,27,0.405714286,1,MODERATE,9.95E-04
4,Denny Doyle,LEFT,69,175,0.25,16,0.394285714,1,MODERATE,9.95E-04
5,Jose Cardenal,RIGHT,70,150,0.275,138,0.466666667,2,LEAN,4.50E-04
6,Mike Ryan,RIGHT,74,205,0.193,28,0.36097561,0,HEAVY,4.50E-04
7,Fritz Peterson,BOTH,72,185,0.159,2,0.389189189,1,MODERATE,0.002943388
8,Dick Bertell,RIGHT,72,200,0.25,10,0.36,0,HEAVY,4.50E-04
9,Rod Kanehl,RIGHT,73,180,0.241,6,0.405555556,1,MODERATE,4.50E-04
13,Juan Bonilla,RIGHT,69,170,0.256,7,0.405882353,1,MODERATE,4.50E-04
14,Frank Tepedino,LEFT,71,185,0.241,6,0.383783784,1,MODERATE,9.95E-04
16,Rick Wise,RIGHT,73,180,0.195,15,0.405555556,1,MODERATE,4.50E-04
17,Darrell Evans,LEFT,74,200,0.248,414,0.37,0,HEAVY,9.95E-04
18,Buck Martinez,RIGHT,70,190,0.225,58,0.368421053,0,HEAVY,4.50E-04
19,John Wockenfuss,RIGHT,72,190,0.262,86,0.378947368,0,HEAVY,4.50E-04
20,Tommy McCraw,LEFT,72,183,0.246,75,0.393442623,1,MODERATE,9.95E-04
24,Lee Lacy,RIGHT,73,175,0.286,91,0.417142857,1,MODERATE,4.50E-04
25,Pete Rose,BOTH,71,192,0.303,160,0.369791667,0,HEAVY,0.002943388
26,Danny Walton,RIGHT,72,195,0.223,28,0.369230769,0,HEAVY,4.50E-04
27,Bobby Cox,RIGHT,71,180,0.225,9,0.394444444,1,MODERATE,4.50E-04
28,Brad Wellman,RIGHT,72,170,0.231,6,0.423529412,1,MODERATE,4.50E-04
29,Jeff Newman,RIGHT,74,215,0.224,63,0.344186047,0,HEAVY,4.50E-04
30,Pedro Gonzalez,RIGHT,72,176,0.244,8,0.409090909,1,MODERATE,4.50E-04
32,Tommie Reynolds,RIGHT,74,190,0.226,12,0.389473684,1,MODERATE,4.50E-04
33,Gene Clines,RIGHT,69,170,0.277,5,0.405882353,1,MODERATE,4.50E-04
34,Jim Hickman,RIGHT,75,192,0.252,159,0.390625,1,MODERATE,4.50E-04
36,Jerry Buchek,RIGHT,71,185,0.22,22,0.383783784,1,MODERATE,4.50E-04
37,Ivan DeJesus,RIGHT,71,175,0.254,21,0.405714286,1,MODERATE,4.50E-04
38,Gary Nolan,RIGHT,74,197,0.138,1,0.375634518,0,HEAVY,4.50E-04
40,Fred Whitfield,LEFT,73,190,0.253,108,0.384210526,1,MODERATE,9.95E-04
41,Larry Dierker,RIGHT,76,215,0.136,4,0.353488372,0,HEAVY,4.50E-04
42,Dave Skaggs,RIGHT,74,200,0.241,3,0.37,0,HEAVY,4.50E-04
43,Dick Ruthven,RIGHT,75,190,0.183,1,0.394736842,1,MODERATE,4.50E-04
46,Dave Kingman,RIGHT,78,210,0.236,442,0.371428571,0,HEAVY,4.50E-04
47,Eric Soderholm,RIGHT,71,187,0.264,102,0.379679144,1,MODERATE,4.50E-04
49,Ed Brinkman,RIGHT,72,170,0.224,60,0.423529412,1,MODERATE,4.50E-04
50,Wayne Garrett,LEFT,71,175,0.239,61,0.405714286,1,MODERATE,9.95E-04
51,Tony Muser,LEFT,74,180,0.259,7,0.411111111,1,MODERATE,9.95E-04
54,Ted Ford,RIGHT,70,180,0.219,17,0.388888889,1,MODERATE,4.50E-04
56,Jim Lyttle,LEFT,72,180,0.248,9,0.4,1,MODERATE,9.95E-04
59,Scot Thompson,LEFT,75,195,0.262,5,0.384615385,1,MODERATE,9.95E-04
60,Gene Locklear,LEFT,70,165,0.274,9,0.424242424,1,MODERATE,9.95E-04
61,Bo Diaz,RIGHT,71,185,0.255,87,0.383783784,1,MODERATE,4.50E-04
62,Bump Wills,BOTH,69,172,0.266,36,0.401162791,1,MODERATE,0.002943388
64,Pat Putnam,LEFT,72,205,0.255,63,0.351219512,0,HEAVY,9.95E-04
65,Kurt Bevacqua,RIGHT,72,180,0.236,27,0.4,1,MODERATE,4.50E-04
67,Syd O'Brien,RIGHT,73,185,0.23,24,0.394594595,1,MODERATE,4.50E-04
68,Chris Chambliss,LEFT,73,195,0.279,185,0.374358974,0,HEAVY,9.95E-04
69,Tom Satriano,LEFT,73,185,0.225,21,0.394594595,1,MODERATE,9.95E-04
70,Jeffrey Leonard,RIGHT,74,200,0.266,144,0.37,0,HEAVY,4.50E-04
71,Dal Maxvill,RIGHT,71,157,0.217,6,0.452229299,2,LEAN,4.50E-04
73,Cesar Tovar,RIGHT,69,155,0.278,46,0.44516129,2,LEAN,4.50E-04
76,Jack Heidemann,RIGHT,72,175,0.211,9,0.411428571,1,MODERATE,4.50E-04
77,Rich Rollins,RIGHT,70,185,0.269,77,0.378378378,0,HEAVY,4.50E-04
78,Walt Bond,LEFT,79,228,0.256,41,0.346491228,0,HEAVY,9.95E-04
79,Merv Rettenmund,RIGHT,70,190,0.271,66,0.368421053,0,HEAVY,4.50E-04
81,Byron Browne,RIGHT,74,190,0.236,30,0.389473684,1,MODERATE,4.50E-04
82,Hector Torres,RIGHT,72,175,0.216,18,0.411428571,1,MODERATE,4.50E-04
83,Walt Williams,RIGHT,66,165,0.27,33,0.4,1,MODERATE,4.50E-04
84,Jerry Koosman,RIGHT,74,205,0.119,2,0.36097561,0,HEAVY,4.50E-04
85,Steve Lombardozzi,RIGHT,72,175,0.233,20,0.411428571,1,MODERATE,4.50E-04
86,Joe Azcue,RIGHT,72,190,0.252,50,0.378947368,0,HEAVY,4.50E-04
87,Elliott Maddox,RIGHT,71,180,0.261,18,0.394444444,1,MODERATE,4.50E-04
88,Omar Moreno,LEFT,74,180,0.252,37,0.411111111,1,MODERATE,9.95E-04
89,Julian Javier,RIGHT,73,175,0.257,78,0.417142857,1,MODERATE,4.50E-04
91,Elio Chacon,RIGHT,69,160,0.232,4,0.43125,1,MODERATE,4.50E-04
92,Rusty Torres,BOTH,70,175,0.212,35,0.4,1,MODERATE,0.002943388
93,John Stearns,RIGHT,72,185,0.26,46,0.389189189,1,MODERATE,4.50E-04
94,Larry Brown,RIGHT,70,160,0.233,47,0.4375,2,LEAN,4.50E-04
95,Tommy Dean,RIGHT,72,165,0.18,4,0.436363636,2,LEAN,4.50E-04
99,Bruce Boisclair,LEFT,74,185,0.263,10,0.4,1,MODERATE,9.95E-04
100,Ken Singleton,BOTH,76,210,0.282,246,0.361904762,0,HEAVY,0.002943388
101,Frank White,RIGHT,71,165,0.255,160,0.43030303,1,MODERATE,4.50E-04
102,Jim Fairey,LEFT,70,190,0.235,7,0.368421053,0,HEAVY,9.95E-04
104,Tom Brookens,RIGHT,70,165,0.246,71,0.424242424,1,MODERATE,4.50E-04
105,Gary Thomasson,LEFT,73,180,0.249,61,0.405555556,1,MODERATE,9.95E-04
109,Otto Velez,RIGHT,72,170,0.251,78,0.423529412,1,MODERATE,4.50E-04
110,Tony Scott,BOTH,72,164,0.249,17,0.43902439,2,LEAN,0.002943388
111,Ray Oyler,RIGHT,71,165,0.175,15,0.43030303,1,MODERATE,4.50E-04
113,Floyd Robinson,LEFT,69,175,0.283,67,0.394285714,1,MODERATE,9.95E-04
114,Steve Jeltz,BOTH,71,180,0.21,5,0.394444444,1,MODERATE,0.002943388
115,Lou Brock,LEFT,71,170,0.293,149,0.417647059,1,MODERATE,9.95E-04
117,Joe Lovitto,BOTH,72,185,0.216,4,0.389189189,1,MODERATE,0.002943388
119,Wayne Comer,RIGHT,70,175,0.229,16,0.4,1,MODERATE,4.50E-04
120,Dave Collins,BOTH,71,175,0.272,32,0.405714286,1,MODERATE,0.002943388
121,Ed Spiezio,RIGHT,71,180,0.238,39,0.394444444,1,MODERATE,4.50E-04
122,Rico Petrocelli,RIGHT,72,175,0.251,210,0.411428571,1,MODERATE,4.50E-04
123,Johnny Lewis,LEFT,73,189,0.227,22,0.386243386,1,MODERATE,9.95E-04
124,Dick Simpson,RIGHT,76,176,0.207,15,0.431818182,1,MODERATE,4.50E-04
125,Ken Boswell,LEFT,72,170,0.248,31,0.423529412,1,MODERATE,9.95E-04
126,Ken McMullen,RIGHT,75,190,0.248,156,0.394736842,1,MODERATE,4.50E-04
128,Steve Swisher,RIGHT,74,205,0.216,20,0.36097561,0,HEAVY,4.50E-04
130,Dick Howser,RIGHT,68,155,0.248,16,0.438709677,2,LEAN,4.50E-04
131,Manny Castillo,BOTH,69,160,0.242,3,0.43125,1,MODERATE,0.002943388
132,Mike Ramsey,BOTH,73,170,0.24,2,0.429411765,1,MODERATE,0.002943388
133,Willie Crawford,LEFT,73,197,0.268,86,0.370558376,0,HEAVY,9.95E-04
135,Willie Norwood,RIGHT,72,185,0.242,18,0.389189189,1,MODERATE,4.50E-04
137,Jeff Stone,LEFT,72,175,0.277,11,0.411428571,1,MODERATE,9.95E-04
139,Joe Lahoud,LEFT,73,198,0.223,65,0.368686869,0,HEAVY,9.95E-04
140,Tim Flannery,LEFT,71,175,0.255,9,0.405714286,1,MODERATE,9.95E-04
141,Dave McKay,BOTH,73,195,0.229,21,0.374358974,0,HEAVY,0.002943388
145,Benny Ayala,RIGHT,73,185,0.251,38,0.394594595,1,MODERATE,4.50E-04
147,Greg Gross,LEFT,70,160,0.287,7,0.4375,2,LEAN,9.95E-04
149,Sal Butera,RIGHT,72,190,0.227,8,0.378947368,0,HEAVY,4.50E-04
150,Jack Brohamer,LEFT,70,165,0.245,30,0.424242424,1,MODERATE,9.95E-04
151,Von Joshua,LEFT,70,170,0.273,30,0.411764706,1,MODERATE,9.95E-04
152,Eddie Milner,LEFT,71,173,0.253,42,0.410404624,1,MODERATE,9.95E-04
153,Johnny Jeter,RIGHT,73,180,0.244,18,0.405555556,1,MODERATE,4.50E-04
154,Angel Salazar,RIGHT,72,180,0.212,2,0.4,1,MODERATE,4.50E-04
155,Tony Oliva,LEFT,73,175,0.304,220,0.417142857,1,MODERATE,9.95E-04
156,Cito Gaston,RIGHT,75,190,0.256,91,0.394736842,1,MODERATE,4.50E-04
157,Cookie Rojas,RIGHT,70,160,0.263,54,0.4375,2,LEAN,4.50E-04
158,Rich Morales,RIGHT,71,170,0.195,6,0.417647059,1,MODERATE,4.50E-04
160,Dan Ford,RIGHT,73,185,0.27,121,0.394594595,1,MODERATE,4.50E-04
162,Darryl Motley,RIGHT,69,196,0.243,44,0.352040816,0,HEAVY,4.50E-04
163,Ozzie Virgil,RIGHT,73,180,0.243,98,0.405555556,1,MODERATE,4.50E-04
164,Johnny Oates,LEFT,71,188,0.25,14,0.377659574,0,HEAVY,9.95E-04
166,Mike Phillips,LEFT,72,170,0.24,11,0.423529412,1,MODERATE,9.95E-04
167,Ron Santo,RIGHT,72,190,0.277,342,0.378947368,0,HEAVY,4.50E-04
168,Jay Johnstone,LEFT,73,175,0.267,102,0.417142857,1,MODERATE,9.95E-04
169,Jim Ray Hart,RIGHT,71,185,0.278,170,0.383783784,1,MODERATE,4.50E-04
170,Marc Hill,RIGHT,75,205,0.223,34,0.365853659,0,HEAVY,4.50E-04
173,Chico Salmon,RIGHT,70,160,0.249,31,0.4375,2,LEAN,4.50E-04
174,Joe Niekro,RIGHT,73,185,0.156,1,0.394594595,1,MODERATE,4.50E-04
175,Andy Etchebarren,RIGHT,73,190,0.235,49,0.384210526,1,MODERATE,4.50E-04
176,Ken Berry,RIGHT,72,175,0.255,58,0.411428571,1,MODERATE,4.50E-04
177,Dave Concepcion,RIGHT,74,155,0.267,101,0.477419355,2,LEAN,4.50E-04
178,Junior Moore,RIGHT,71,185,0.264,7,0.383783784,1,MODERATE,4.50E-04
179,Mike Richardt,RIGHT,72,170,0.226,4,0.423529412,1,MODERATE,4.50E-04
